               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027683,            0.025468,                   0,             0.78894,             0.68182,             0.75621,             0.45521,            0.032255,            0.018326,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.027911,            0.024195,                   0,               0.753,             0.69091,             0.75177,             0.45898,             0.03197,            0.018597,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.027427,             0.02255,                   0,             0.75567,             0.68485,             0.75531,             0.45739,            0.031641,            0.018375,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.027213,            0.023018,                   0,             0.74184,             0.70606,              0.7454,             0.45893,            0.031969,            0.018454,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.027031,            0.022119,                   0,             0.74898,             0.68788,             0.75171,             0.46255,            0.031803,            0.018611,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.027104,            0.023015,                   0,             0.79088,             0.64178,              0.7422,              0.4582,            0.032025,            0.018819,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.027113,            0.023052,                   0,              0.6917,             0.72424,             0.73968,             0.45279,            0.032123,            0.018851,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026857,            0.022977,                   0,              0.7375,             0.66364,              0.7416,             0.45264,            0.031773,            0.018957,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.026958,            0.022308,                   0,             0.72691,             0.68485,             0.74064,               0.459,            0.031688,            0.018715,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.026652,            0.023355,                   0,             0.75026,             0.67879,             0.75111,             0.46174,             0.03159,            0.018542,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.026027,            0.023209,                   0,             0.74453,             0.68885,             0.74721,              0.4585,            0.031582,             0.01879,                   0,            0.000496,            0.000496,            0.000496
